Cod85,Cod23,Nom23,Nom23_corto,Nom23_siglas,Ciclo23SOC,Ciclo23ARQ,Ciclo23prof,Ciclo85SOC,Ciclo85ARQ,Ciclo85Prof
0737,17043,MÉTODOS CUANTITATIVOS EN ARQUEOLOGÍA,Met. Cuanti. Arqueo.,MCARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Ciclo Común,Ciclo Común
,17044,EJERCICIO PROFESIONAL DE LA ARQUEOLOGÍA,Ej. Profesional Arqueo.,EPARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,,
,17045,MATERIALES BIOLÓGICOS EN ARQUEOLOGÍA,Mat. Bio. en Arqueo.,MBA,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,,
,17046,ARQUEOLOGÍA DE TIEMPOS MODERNOS,Arq. de T. Modernos,ATM,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,,
,17047,ESTUDIOS INTERDISCIPLINARIOS EN ARQUEOLOGÍA,Est. Interdisciplinarios Arq.,EIARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,,
0755,17048,"SEMINARIO DE INVESTIGACIÓN EN ARQUEOLOGÍA, TRABAJO DE CAMPO Y LABORATORIO",Sem. Inv. Arqueo.,SIARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,Licenciatura Arqueología,
,17049,METODOLOGÍA DE LA INVESTIGACIÓN ANTROPOLÓGICA EN EDUCACIÓN,Met. Antrop. Educación,METED,,,Ciclo de Formación General (CFG) Profesorado,,,
,17029,ANTROPOLOGÍA Y EDUCACIÓN,Antrop. y Educación,AYE,,,Ciclo de Formación General (CFG) Profesorado,,,
,17050,ANTROPOLOGÍA Y CONOCIMIENTO,Antrop. y Conocimiento,AYC,,,Ciclo de Formación General (CFG) Profesorado,,,
,ESI,Seminario de Educación Sexual Integral,Sem. ESI,ESI,,,Ciclo de Formación Específica (CFE) Profesorado,,,
7127,17051,DIDÁCTICA ESPECIAL Y PRÁCTICAS DE LA ENSEÑANZA,Did. Esp. y Pract. de Ens.,DIDES,,,Ciclo de Formación Específica (CFE) Profesorado,,,Profesorado
,17052,EXPERIENCIAS SOCIOEDUCATIVAS SITUADAS,Exp. Socioed. Stiuadas,ESS,,,Ciclo de Formación Específica (CFE) Profesorado,,,
