Cod23,Nom23,Nom23_corto,Nom23_siglas,Lic23SOC,Lic23ARQ,Prof23,Cod85,Nom85,Nom85_siglas,Lic85SOC,Lic85ARQ,Prof85
17032,"RELIGIONES, MITOS Y RITUALES EN LA MODERNIDAD",Relig. Mitos y Rituales,RIT,"Procesos socioeconómicos: producción, reproducción y transformación social",,,,,,,,
17033,SEMINARIO DE INVESTIGACIÓN EN ANTROPOLOGÍA SOCIOCULTURAL,Sem. Inv. Antrop. Socio.,SIASOC,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,0746,SEMINARIO DE INVESTIGACIÓN ANUAL (ORIENTACIÓN SOCIOCULTURAL),SIASOC,Licenciatura Sociocultural,,
17034,"ARQUEOLOGÍA DE ÁFRICA, EURASIA Y OCEANÍA",Arqueo. de Af. Eura. y Oc.,ARQAEO,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Electiva Arqueología,0750,PREHISTORIA DEL VIEJO MUNDO,VIEJOM,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17035,ARQUEOLOGÍA AMERICANA Y ARGENTINA I,Arqueo. Am y Arg. I,ARQAM1,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Electiva Arqueología,0751,PREHISTORIA AMERICANA Y ARGENTINA I (CULTURAS DE CAZADORES - RECOLECTORES),AMARG1,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17036,ARQUEOLOGÍA AMERICANA Y ARGENTINA II,Arqueo. Am y Arg. II,ARQAM2,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Electiva Arqueología,0712,PREHISTORIA AMERICANA Y ARGENTINA II (CULTURAS AGRO-ALFARERAS),AMARG2,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17037,ARQUEOLOGÍA ARGENTINA,Arqueo. Argentina,ARQARG,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Electiva Arqueología,0754,ARQUEOLOGÍA ARGENTINA,ARQARG,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17038,MATERIALES ARQUEOLÓGICOS Y SUS TECNOLOGÍAS,Mat. Arqueo. y sus Tec.,MAT,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Electiva Arqueología,0722,ERGOLOGÍA Y TECNOLOGÍA,ERGO,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17039,GEOLOGÍA PARA ARQUEÓLOGOS,Geo. para Arqueo.,GPA,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Electiva Arqueología,0752,GEOLOGÍA GENERAL Y GEOMORFOLOGÍA  DEL CUARTARIO,GEO,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17040,TEORÍAS ARQUEOLÓGICAS CONTEMPORÁNEAS,T. Arqueo. Contemp.,TARQC,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,0748,TEORÍA ARQUEOLÓGICA CONTEMPORÁNEA,TARQC,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17041,MODELOS Y MÉTODOS DE ANÁLISIS EN ARQUEOLOGÍA,Mod. y Met. Arqueo.,MYM,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,0753,MODELOS Y MÉTODOS DE ANÁLISIS EN ECONOMÍA PREHISTÓRICA,MYM,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17042,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN ARQUEOLÓGICA,Met. Arqueo.,MTARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,Electiva Arqueología,0721,METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN ARQUEOLÓGICA,MTARQ,,Ciclo Orientación Arqueología,Ciclo Orientación Arqueología
17043,MÉTODOS CUANTITATIVOS EN ARQUEOLOGÍA,Met. Cuanti. Arqueo.,MCARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,0737,MÉTODOS CUANTITATIVOS EN ANTROPOLOGÍA,MCARQ,,Ciclo Común,Ciclo Común
17044,EJERCICIO PROFESIONAL DE LA ARQUEOLOGÍA,Ej. Profesional Arqueo.,EPARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,,,,,
17045,MATERIALES BIOLÓGICOS EN ARQUEOLOGÍA,Mat. Bio. en Arqueo.,MBA,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,,,,,
17046,ARQUEOLOGÍA DE TIEMPOS MODERNOS,Arq. de T. Modernos,ATM,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,O7034,Estudios de Arqueología Histórica,ARQHIS,,,
17047,ESTUDIOS INTERDISCIPLINARIOS EN ARQUEOLOGÍA,Est. Interdisciplinarios Arq.,EIARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,,,,,,
17048,"SEMINARIO DE INVESTIGACIÓN EN ARQUEOLOGÍA, TRABAJO DE CAMPO Y LABORATORIO",Sem. Inv. Arqueo.,SIARQ,,Ciclo de Formación Orientada (CFO) Licenciatura Arqueología,,0755,SEMINARIO DE INVESTIGACIÓN EN ARQUEOLOGÍA,SIARQ,,Licenciatura Arqueología,
17049,METODOLOGÍA DE LA INVESTIGACIÓN ANTROPOLÓGICA EN EDUCACIÓN,Met. Antrop. Educación,METED,,,Ciclo de Formación General (CFG) Profesorado,,,,,,
17029,ANTROPOLOGÍA Y EDUCACIÓN,Antrop. y Educación,AYE,,,Ciclo de Formación General (CFG) Profesorado,,,,,,
17050,ANTROPOLOGÍA Y CONOCIMIENTO,Antrop. y Conocimiento,AYC,,,Ciclo de Formación General (CFG) Profesorado,,,,,,
ESI,Seminario de Educación Sexual Integral,Sem. ESI,ESI,,,Ciclo de Formación Específica (CFE) Profesorado,,,,,,
17051,DIDÁCTICA ESPECIAL Y PRÁCTICAS DE LA ENSEÑANZA,Did. Esp. y Pract. de Ens.,DIDESP,,,Ciclo de Formación Específica (CFE) Profesorado,7127,DIDÁCTICA ESPECIAL Y PRÁCTICAS DE LA ENSEÑANZA,DIDESP,,,Profesorado
17052,EXPERIENCIAS SOCIOEDUCATIVAS SITUADAS,Exp. Socioed. Stiuadas,ESS,,,Ciclo de Formación Específica (CFE) Profesorado,,,,,,
,,,,,,,,,,,,
,,,,,,,O7021,Antropología de los cielos,CIELOS,Optativa,Optativa,Optativa
,,,,,,,O7032,Tecnologías Digitales y Antropología,DIGIT,Optativa,Optativa,Optativa
,,,,,,,O7028,Migraciones Internacionales Contemporáneas,MIGRA,Optativa,Optativa,Optativa
