Cod85,Cod23,Nom23,Nom23_corto,Nom23_siglas,Ciclo23,Electividad23,Area23,Correlatividad23
0734,17013,ANTROPOLOGÍA LINGÜÍSTICA,Antrop. Lingüística,ALING,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,Al menos 5 materias del CFG
0745,17014,TEORÍA SOCIAL,Teoría Social,TSOC,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,Al menos 5 materias del CFG
"0757, 0758",17015,TEORÍAS DE LA SUBJETIVIDAD,T. de la Subjetividad,TSUBJ,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,Al menos 5 materias del CFG
,,1 Seminario regular de Antropología Sociocultural,,,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,Variable,,
0744,17016,METODOLOGÍA E INVESTIGACIÓN ANTROPOLÓGICA,Met. e Inv. Antrop.,MIA,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,Al menos 10 materias del CFG
0737,17017,ENFOQUE CUANTITATIVO DE INVESTIGACIÓN EN ANTROPOLOGÍA SOCIOCULTURAL,Enf. Cuantitativo,CUANT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección A, 1 materia",,Al menos 10 materias del CFG
,17018,EJERCICIO PROFESIONAL DE LA ANTROPOLOGÍA SOCIOCULTURAL,Ej. Profesional Socio.,EPAS,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección A, 1 materia",,Al menos 10 materias del CFG
,,"1 materia electiva de cualquier orientación, carrera o facultad de la UBA",,,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,
,17019,"CONQUISTAS, RESISTENCIAS Y MEMORIAS INDÍGENAS",Conq. Res. y Mem. Ind.,CRMI,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área",Antropología histórica y memoria,Al menos 10 materias del CFG
,17020,PUEBLOS INDÍGENAS Y ESTADOS,P. Ind. y Estados,PIE,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área",Antropología histórica y memoria,Al menos 10 materias del CFG
,17021,ANTROPOLOGÍAS LATINOAMERICANAS,A. Latinoamericanas,ALAT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área",Antropología histórica y memoria,Al menos 10 materias del CFG
,17022,AMÉRICA EN CONTEXTO,Am. en Contexto,AEC,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área",Antropología histórica y memoria,Al menos 10 materias del CFG
,17023,"CAPITALISMO ACTUAL, TRABAJO Y TRABAJADORES",Cap. Trab. y Trabajadores,CATT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos culturales, ideología y poder",Al menos 10 materias del CFG
,17024,CONFIGURACIONES SOCIOAMBIENTALES Y TERRITORIALES EN EL ESPACIO URBANO Y RURAL,Conf. Soc. y Terr.,SOCTER,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos culturales, ideología y poder",Al menos 10 materias del CFG
,17025,RELACIONES DE GÉNERO Y ORGANIZACIÓN SOCIAL DE LOS CUIDADOS,Rel. de Género y Cuidados,RGEN,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos culturales, ideología y poder",Al menos 10 materias del CFG
,17026,ANTROPOLOGÍA DEL ESTADO Y LAS POLÍTICAS PÚBLICAS,A. del Estado y Pol. Pub.,AEST,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos políticos, instituciones y prácticas",Al menos 10 materias del CFG
,17027,SUJETOS SOCIALES Y POLÍTICOS EN PERSPECTIVA ANTROPOLÓGICA,Suj. Soc. y Pol.,SUJ,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos políticos, instituciones y prácticas",Al menos 10 materias del CFG
,17028,ABORDAJES ANTROPOLÓGICOS DE LA SALUD Y LAS BIOCIENCIAS,Salud y Biociencias,SALUD,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos políticos, instituciones y prácticas",Al menos 10 materias del CFG
,17029,ANTROPOLOGÍA Y EDUCACIÓN,Antrop. y Educación,AYE,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos políticos, instituciones y prácticas",Al menos 10 materias del CFG
,17030,DINÁMICAS CONTEMPORÁNEAS DEL CAMPO DE LA CULTURA,D. Cont. en el C. de la Cult.,CULT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos socioeconómicos: producción, reproducción y transformación social",Al menos 10 materias del CFG
,17031,"DISCURSO, IMAGEN Y ALTERIDAD",Disc. Im. y Alteridad,DIA,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos socioeconómicos: producción, reproducción y transformación social",Al menos 10 materias del CFG
,17032,"RELIGIONES, MITOS Y RITUALES EN LA MODERNIDAD",Relig. Mitos y Rituales,RIT,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,"Elección B, 2 materias de la misma área","Procesos socioeconómicos: producción, reproducción y transformación social",Al menos 10 materias del CFG
0746,17033,SEMINARIO DE INVESTIGACIÓN EN ANTROPOLOGÍA SOCIOCULTURAL,Sem. Inv. Antrop. Socio.,SIASOC,Ciclo de Formación Orientada (CFO) Licenciatura Sociocultural,,,"Al menos 10 materias del CFG, incluyendo METODOLOGÍA E INVESTIGACIÓN ANTROPOLÓGICA"
